Date,Sales,FEDFUNDS,MORTGAGE30US
1990-01-01,1916,8.23,9.895
1990-02-01,1663,8.24,10.1975
1990-03-01,2596,8.28,10.268
1990-04-01,2362,8.26,10.37
1990-05-01,2491,8.18,10.4775
1990-06-01,2489,8.29,10.164
1990-07-01,2818,8.15,10.035
1990-08-01,2779,8.13,10.1
1990-09-01,2154,8.2,10.175
1990-10-01,2111,8.11,10.1775
1990-11-01,2051,7.81,10.014
1990-12-01,2020,7.31,9.6725
1991-01-01,1729,6.91,9.6375
1991-02-01,1668,6.25,9.365
1991-03-01,2103,6.12,9.5
1991-04-01,2346,5.91,9.4925
1991-05-01,2855,5.78,9.472
1991-06-01,2926,5.9,9.615
1991-07-01,2570,5.82,9.575
1991-08-01,2783,5.66,9.244
1991-09-01,2254,5.45,9.0075
1991-10-01,2087,5.21,8.855
1991-11-01,1889,4.81,8.712
1991-12-01,1870,4.43,8.4975
1992-01-01,1518,4.03,8.432
1992-02-01,1890,4.06,8.7625
1992-03-01,2680,3.98,8.935
1992-04-01,2760,3.73,8.8525
1992-05-01,2813,3.82,8.672
1992-06-01,2987,3.76,8.51
1992-07-01,2834,3.25,8.128
1992-08-01,2806,3.3,7.975
1992-09-01,2546,3.22,7.9225
1992-10-01,2613,3.1,8.088
1992-11-01,2338,3.09,8.305
1992-12-01,2608,2.92,8.206
1993-01-01,1768,3.02,7.9925
1993-02-01,1875,3.03,7.6825
1993-03-01,2621,3.07,7.495
1993-04-01,2706,2.96,7.472
1993-05-01,3031,3,7.465
1993-06-01,3525,3.04,7.4175
1993-07-01,3398,3.06,7.206
1993-08-01,3392,3.03,7.1125
1993-09-01,2971,3.09,6.915
1993-10-01,2721,2.99,6.834
1993-11-01,2653,3.02,7.155
1993-12-01,2753,2.96,7.172
1994-01-01,1851,3.05,7.06
1994-02-01,2019,3.25,7.1525
1994-03-01,3184,3.34,7.675
1994-04-01,3195,3.56,8.316
1994-05-01,3327,4.01,8.5975
1994-06-01,3388,4.25,8.3975
1994-07-01,3326,4.26,8.614
1994-08-01,3419,4.47,8.5125
1994-09-01,2806,4.73,8.64
1994-10-01,2562,4.76,8.925
1994-11-01,2399,5.29,9.17
1994-12-01,2379,5.45,9.198
1995-01-01,1677,5.53,9.1475
1995-02-01,2032,5.92,8.8275
1995-03-01,2724,5.98,8.462
1995-04-01,2244,6.05,8.32
1995-05-01,3710,6.01,7.955
1995-06-01,4173,6,7.566
1995-07-01,3917,5.85,7.6075
1995-08-01,4407,5.74,7.86
1995-09-01,3435,5.8,7.636
1995-10-01,3320,5.76,7.475
1995-11-01,3055,5.8,7.3775
1995-12-01,3038,5.6,7.2
1996-01-01,2424,5.56,7.03
1996-02-01,2947,5.22,7.075
1996-03-01,3747,5.31,7.624
1996-04-01,4126,5.22,7.925
1996-05-01,4523,5.24,8.07
1996-06-01,4258,5.27,8.32
1996-07-01,4513,5.4,8.245
1996-08-01,4321,5.22,8.002
1996-09-01,3561,5.3,8.23
1996-10-01,3435,5.24,7.915
1996-11-01,3159,5.31,7.618
1996-12-01,3238,5.29,7.5975
1997-01-01,2497,5.25,7.824
1997-02-01,3052,5.19,7.65
1997-03-01,3861,5.39,7.8975
1997-04-01,3989,5.51,8.1425
1997-05-01,4720,5.5,7.944
1997-06-01,4780,5.56,7.69
1997-07-01,5189,5.52,7.4975
1997-08-01,4899,5.54,7.48
1997-09-01,4344,5.54,7.43
1997-10-01,4340,5.5,7.294
1997-11-01,3517,5.52,7.205
1997-12-01,4087,5.5,7.095
1998-01-01,2992,5.56,6.994
1998-02-01,3690,5.51,7.0425
1998-03-01,4930,5.49,7.1275
1998-04-01,5034,5.45,7.14
1998-05-01,5524,5.49,7.144
1998-06-01,6102,5.56,6.9975
1998-07-01,6037,5.54,6.952
1998-08-01,5415,5.55,6.9225
1998-09-01,4475,5.51,6.7225
1998-10-01,4525,5.07,6.71
1998-11-01,4115,4.83,6.865
1998-12-01,4436,4.68,6.738
1999-01-01,3123,4.63,6.785
1999-02-01,4023,4.76,6.8075
1999-03-01,5506,4.81,7.04
1999-04-01,5395,4.74,6.916
1999-05-01,5812,4.74,7.145
1999-06-01,6682,4.76,7.55
1999-07-01,6287,4.99,7.632
1999-08-01,5956,5.07,7.9425
1999-09-01,5237,5.22,7.8225
1999-10-01,4723,5.2,7.852
1999-11-01,4651,5.42,7.7375
1999-12-01,4837,5.3,7.912
2000-01-01,3273,5.45,8.21
2000-02-01,4683,5.73,8.325
2000-03-01,6165,5.85,8.24
2000-04-01,5633,6.02,8.1525
2000-05-01,6551,6.27,8.515
2000-06-01,6734,6.53,8.288
2000-07-01,6068,6.54,8.1475
2000-08-01,6348,6.5,8.0275
2000-09-01,5241,6.52,7.912
2000-10-01,5191,6.51,7.795
2000-11-01,4899,6.51,7.745
2000-12-01,4494,6.4,7.382
2001-01-01,3701,5.98,7.0325
2001-02-01,4750,5.49,7.05
2001-03-01,6278,5.31,6.952
2001-04-01,5735,4.8,7.0775
2001-05-01,6769,4.21,7.145
2001-06-01,7203,3.97,7.16
2001-07-01,6839,3.77,7.1275
2001-08-01,6653,3.65,6.95
2001-09-01,5160,3.07,6.8175
2001-10-01,5015,2.49,6.6175
2001-11-01,4963,2.09,6.658
2001-12-01,5000,1.82,7.065
2002-01-01,4162,1.73,6.9975
2002-02-01,4977,1.74,6.8925
2002-03-01,5835,1.73,7.014
2002-04-01,6080,1.75,6.985
2002-05-01,6837,1.75,6.806
2002-06-01,6473,1.75,6.65
2002-07-01,6772,1.73,6.485
2002-08-01,6381,1.74,6.29
2002-09-01,5430,1.75,6.0925
2002-10-01,5416,1.75,6.1125
2002-11-01,5017,1.34,6.068
2002-12-01,5580,1.24,6.0475
2003-01-01,4106,1.24,5.916
2003-02-01,4491,1.26,5.8425
2003-03-01,6102,1.25,5.745
2003-04-01,5950,1.26,5.8125
2003-05-01,6708,1.26,5.484
